modality,wavelength,importance
msi_satellite,443.0,0.030927252543681272
msi_satellite,490.0,0.03338157733331264
msi_satellite,560.0,0.060399661033873585
msi_satellite,665.0,0.05534991454009697
msi_satellite,705.0,0.0510600749221216
msi_satellite,740.0,0.03634359147706111
msi_satellite,783.0,0.05063421875548689
msi_satellite,842.0,0.050999771276389626
msi_satellite,865.0,0.049925296436790376
msi_satellite,945.0,0.03957155305665252
msi_satellite,1610.0,0.04175195886829347
msi_satellite,2190.0,0.04417185696255873
hsi_satellite,402.4402,0.0014875845171523955
hsi_satellite,411.31638,0.0012909078819518531
hsi_satellite,419.3725,0.0014341833740571294
hsi_satellite,426.96744,0.0019584676199043754
hsi_satellite,434.3084,0.0020428864571365307
hsi_satellite,441.6589,0.0011543918191866099
hsi_satellite,449.03363,0.0013036010117681706
hsi_satellite,456.37735,0.0013921195262663966
hsi_satellite,463.731,0.0014747674900476592
hsi_satellite,470.94888,0.0014167871462774772
hsi_satellite,478.1763,0.001247978755705295
hsi_satellite,485.4096,0.0014342839369109522
hsi_satellite,492.69992,0.0013519527602280552
hsi_satellite,500.13724,0.0011810491475022881
hsi_satellite,507.66315,0.0012590309534861
hsi_satellite,515.1758,0.0013361747357684016
hsi_satellite,522.9162,0.0011187662602524632
hsi_satellite,530.66705,0.0009925314263900316
hsi_satellite,538.48706,0.0009209908617255044
hsi_satellite,546.48,0.0007881457443688301
hsi_satellite,554.5646,0.0006704022559022615
hsi_satellite,562.7366,0.0006212334297528104
hsi_satellite,571.0028,0.0006437608737555311
hsi_satellite,579.3517,0.000750629776716304
hsi_satellite,587.82355,0.0008543419003254985
hsi_satellite,596.4751,0.0009318920446010337
hsi_satellite,605.3912,0.0010624693611209237
hsi_satellite,614.1723,0.0011607287413134676
hsi_satellite,623.1971,0.001319418168942413
hsi_satellite,632.13165,0.0013542550972480683
hsi_satellite,641.33325,0.0014536225186276813
hsi_satellite,650.7905,0.001551179788622641
hsi_satellite,660.2636,0.0016127878988014893
hsi_satellite,669.8167,0.0017207610647879503
hsi_satellite,679.4728,0.001813240698148095
hsi_satellite,689.42084,0.0015916659053322626
hsi_satellite,699.0959,0.0014098210486761832
hsi_satellite,708.99664,0.0010557301531218279
hsi_satellite,719.17224,0.0007783635143999426
hsi_satellite,729.2445,0.0009394149873046961
hsi_satellite,739.41754,0.0010889187050929076
hsi_satellite,749.7307,0.0011289521846667764
hsi_satellite,760.0969,0.0011847852998240688
hsi_satellite,770.5285,0.001274546145031924
hsi_satellite,780.9124,0.0012404817681709102
hsi_satellite,791.3616,0.001247979869944047
hsi_satellite,801.9366,0.0012309742544373817
hsi_satellite,812.53986,0.0012088912919950073
hsi_satellite,823.1458,0.0012268060166323834
hsi_satellite,833.75134,0.0012173884523018516
hsi_satellite,844.4271,0.001195134011621214
hsi_satellite,855.1821,0.0011784247027587524
hsi_satellite,865.9494,0.0011675399391416852
hsi_satellite,876.6408,0.0011576946023018238
hsi_satellite,887.26587,0.0011405479283937408
hsi_satellite,897.9865,0.001155443373375127
hsi_satellite,908.644,0.0011496070341092373
hsi_satellite,919.1763,0.0011643424985658209
hsi_satellite,929.3855,0.0014297789452220888
hsi_satellite,939.86005,0.001641439016321479
hsi_satellite,942.9579,0.001284287250388065
hsi_satellite,951.0114,0.0012369246772089423
hsi_satellite,959.52203,0.001191884739001416
hsi_satellite,969.38995,0.0010577156467667227
hsi_satellite,978.7377,0.001003989552633554
hsi_satellite,988.41156,0.0010178953964223108
hsi_satellite,998.37494,0.0010586904571976388
hsi_satellite,1008.1683,0.0010199163372034176
hsi_satellite,1017.9846,0.0010365582612020783
hsi_satellite,1028.8063,0.0011175148225459057
hsi_satellite,1037.7646,0.00115866744424169
hsi_satellite,1047.4312,0.0011449470298037056
hsi_satellite,1057.3804,0.0011214823007669732
hsi_satellite,1067.61,0.001138040496571151
hsi_satellite,1078.0391,0.0011291314489816383
hsi_satellite,1088.5898,0.0010752661234688448
hsi_satellite,1099.1083,0.0010979779457694894
hsi_satellite,1109.7408,0.0015076764566866977
hsi_satellite,1120.4946,0.002062637300964638
hsi_satellite,1131.1431,0.0013201609531890987
hsi_satellite,1141.8737,0.0013229802666626356
hsi_satellite,1152.4716,0.0008519213991372471
hsi_satellite,1163.4841,0.0007431140522578336
hsi_satellite,1174.5258,0.0007967803647489846
hsi_satellite,1185.398,0.000935839494716044
hsi_satellite,1196.1748,0.00102259611822878
hsi_satellite,1207.1149,0.0008962852214805417
hsi_satellite,1217.6959,0.0009677476118405924
hsi_satellite,1228.9989,0.0009979739495061823
hsi_satellite,1240.0568,0.0010142772857278533
hsi_satellite,1250.7955,0.000950169644421746
hsi_satellite,1262.3344,0.0010482542056352462
hsi_satellite,1273.3064,0.0010073999571821477
hsi_satellite,1284.2795,0.001072290715598308
hsi_satellite,1295.1967,0.0009475284833816295
hsi_satellite,1306.0472,0.0009294529519316153
hsi_satellite,1317.0177,0.0009539096961177686
hsi_satellite,1328.0897,0.00132841572217461
hsi_satellite,1338.9463,0.005193430449865503
hsi_satellite,1349.599,0.0007329091338309442
hsi_satellite,1360.8427,0.0007455961701641417
hsi_satellite,1372.719,0.0007489561137042312
hsi_satellite,1383.0083,0.0007153334426682324
hsi_satellite,1394.5247,0.0007038872450478655
hsi_satellite,1405.3883,0.0008494246146374429
hsi_satellite,1416.3103,0.0009206325189932003
hsi_satellite,1427.1056,0.0009148042201208518
hsi_satellite,1438.1699,0.0012533045237775261
hsi_satellite,1448.9209,0.002485695603643013
hsi_satellite,1459.0675,0.0027005700935260803
hsi_satellite,1469.7003,0.0017809007457905114
hsi_satellite,1480.6201,0.0011293986535478718
hsi_satellite,1491.1978,0.0009111785338766455
hsi_satellite,1501.7793,0.0008797939399955831
hsi_satellite,1512.4137,0.0009407514642246381
hsi_satellite,1523.0071,0.000994161408710889
hsi_satellite,1533.5645,0.0009914616104984382
hsi_satellite,1544.0302,0.0010130000113132377
hsi_satellite,1554.5801,0.0010168044715209673
