modality,wavelength,importance
msi_satellite,443.0,0.010223216904845265
msi_satellite,490.0,0.010292481682535668
msi_satellite,560.0,0.010994135396246196
msi_satellite,665.0,0.009863222233240666
msi_satellite,705.0,0.00886351158572161
msi_satellite,740.0,0.011434473344018724
msi_satellite,783.0,0.008704996309074868
msi_satellite,842.0,0.008722125668853352
msi_satellite,865.0,0.00935842176283214
msi_satellite,945.0,0.01671427592241573
msi_satellite,1610.0,0.007859122371858355
msi_satellite,2190.0,0.010070304018032467
hsi_satellite,402.4402,0.001004157462476112
hsi_satellite,411.31638,0.0008873566944976969
hsi_satellite,419.3725,0.0009082525737873141
hsi_satellite,426.96744,0.0010200559162055196
hsi_satellite,434.3084,0.0010509873100695791
hsi_satellite,441.6589,0.000816673124616077
hsi_satellite,449.03363,0.0008367935976339406
hsi_satellite,456.37735,0.0008625845379993225
hsi_satellite,463.731,0.0008538872960740641
hsi_satellite,470.94888,0.0008208577273328407
hsi_satellite,478.1763,0.0007893239939620987
hsi_satellite,485.4096,0.0008181437176057275
hsi_satellite,492.69992,0.0007959728930491827
hsi_satellite,500.13724,0.0007547350526354339
hsi_satellite,507.66315,0.0007770379841528146
hsi_satellite,515.1758,0.0007904021402702399
hsi_satellite,522.9162,0.0007182430921512412
hsi_satellite,530.66705,0.000681921956680642
hsi_satellite,538.48706,0.0006511773206698808
hsi_satellite,546.48,0.0006008320664665254
hsi_satellite,554.5646,0.0005529064050963425
hsi_satellite,562.7366,0.0005160207969831893
hsi_satellite,571.0028,0.0004876461376927165
hsi_satellite,579.3517,0.0004800012591731891
hsi_satellite,587.82355,0.00048705428064506914
hsi_satellite,596.4751,0.0004842205076251859
hsi_satellite,605.3912,0.0004925532729641549
hsi_satellite,614.1723,0.0005028321760747456
hsi_satellite,623.1971,0.0005408158638191459
hsi_satellite,632.13165,0.0005387142995111878
hsi_satellite,641.33325,0.0005543820190303007
hsi_satellite,650.7905,0.0005855221115043481
hsi_satellite,660.2636,0.0005965970773736601
hsi_satellite,669.8167,0.0006134873437585905
hsi_satellite,679.4728,0.0006159166299687432
hsi_satellite,689.42084,0.0005482818781112606
hsi_satellite,699.0959,0.0004971008424625014
hsi_satellite,708.99664,0.0003767239788968874
hsi_satellite,719.17224,0.0003256475758607375
hsi_satellite,729.2445,0.0004158182286723865
hsi_satellite,739.41754,0.00043136930277742387
hsi_satellite,749.7307,0.000438370089997155
hsi_satellite,760.0969,0.0004482638967905996
hsi_satellite,770.5285,0.0004971237259746111
hsi_satellite,780.9124,0.000461209201253505
hsi_satellite,791.3616,0.00045933565394859266
hsi_satellite,801.9366,0.0004465279955667256
hsi_satellite,812.53986,0.0004413887987712955
hsi_satellite,823.1458,0.0004567399278113519
hsi_satellite,833.75134,0.00046052240790089226
hsi_satellite,844.4271,0.00045147175966051743
hsi_satellite,855.1821,0.00044021434990327966
hsi_satellite,865.9494,0.0004385227692711054
hsi_satellite,876.6408,0.00043508531061300237
hsi_satellite,887.26587,0.0004241400030919217
hsi_satellite,897.9865,0.00042194010393332813
hsi_satellite,908.644,0.00042547319106800755
hsi_satellite,919.1763,0.0004244090272779807
hsi_satellite,929.3855,0.0006319273328517363
hsi_satellite,939.86005,0.0007931251585240936
hsi_satellite,942.9579,0.0005664530124376176
hsi_satellite,951.0114,0.0005683179709021926
hsi_satellite,959.52203,0.0005261077406396778
hsi_satellite,969.38995,0.00042371598145539327
hsi_satellite,978.7377,0.0003920075529394559
hsi_satellite,988.41156,0.00039282513658066146
hsi_satellite,998.37494,0.00040441126910328737
hsi_satellite,1008.1683,0.0003957067215571881
hsi_satellite,1017.9846,0.0003957847917285047
hsi_satellite,1028.8063,0.0004414208030507961
hsi_satellite,1037.7646,0.0004638002171564497
hsi_satellite,1047.4312,0.0004556857477157987
hsi_satellite,1057.3804,0.00044510287063416845
hsi_satellite,1067.61,0.0004555553791248601
hsi_satellite,1078.0391,0.00045043634861525507
hsi_satellite,1088.5898,0.00042185413932129424
hsi_satellite,1099.1083,0.0004382909822934672
hsi_satellite,1109.7408,0.000755275078224117
hsi_satellite,1120.4946,0.0007932868151449259
hsi_satellite,1131.1431,0.0005969672876596328
hsi_satellite,1141.8737,0.0005148382186695518
hsi_satellite,1152.4716,0.00040910851746091655
hsi_satellite,1163.4841,0.00035392330381363107
hsi_satellite,1174.5258,0.0003809601171957819
