modality,wavelength,importance
msi_satellite,443.0,0.050071030986343704
msi_satellite,490.0,0.05817796273685286
msi_satellite,560.0,0.027530154309073043
msi_satellite,665.0,0.017712972993087488
msi_satellite,705.0,0.04526078785333835
msi_satellite,740.0,0.0634176461183617
msi_satellite,783.0,0.029776924708185347
msi_satellite,842.0,0.01744968570493248
msi_satellite,865.0,0.014516551593848409
msi_satellite,945.0,0.04464248816673402
msi_satellite,1610.0,0.03173553489029738
msi_satellite,2190.0,0.03172348667783925
hsi_satellite,402.4402,0.001020131883275599
hsi_satellite,411.31638,0.0012023684530648375
hsi_satellite,419.3725,0.001309222101978823
hsi_satellite,426.96744,0.0017718845708403308
hsi_satellite,434.3084,0.0016661457331654643
hsi_satellite,441.6589,0.0014031856841020683
hsi_satellite,449.03363,0.001554637274499416
hsi_satellite,456.37735,0.00177902284366741
hsi_satellite,463.731,0.002154417068363216
hsi_satellite,470.94888,0.0020190952072474846
hsi_satellite,478.1763,0.0019391575277464517
hsi_satellite,485.4096,0.0021000069822294273
hsi_satellite,492.69992,0.0021977309006603924
hsi_satellite,500.13724,0.00203957229014607
hsi_satellite,507.66315,0.0021540635760420347
hsi_satellite,515.1758,0.002229278957036157
hsi_satellite,522.9162,0.0021205918274908846
hsi_satellite,530.66705,0.0019024639753245222
hsi_satellite,538.48706,0.0018240250976335893
hsi_satellite,546.48,0.00181804462923329
hsi_satellite,554.5646,0.001859079683782796
hsi_satellite,562.7366,0.0019705927409833656
hsi_satellite,571.0028,0.001953768380076238
hsi_satellite,579.3517,0.001986949093937667
hsi_satellite,587.82355,0.002097890932836225
hsi_satellite,596.4751,0.0020846364313376986
hsi_satellite,605.3912,0.002021399711581322
hsi_satellite,614.1723,0.0019843047260441216
hsi_satellite,623.1971,0.001919270959878419
hsi_satellite,632.13165,0.001934800914482657
hsi_satellite,641.33325,0.0018928071103781045
hsi_satellite,650.7905,0.0018971453676330768
hsi_satellite,660.2636,0.0018154594994169685
hsi_satellite,669.8167,0.0016917827461515693
hsi_satellite,679.4728,0.0015183030100930448
hsi_satellite,689.42084,0.001542372770733075
hsi_satellite,699.0959,0.0015093042334506797
hsi_satellite,708.99664,0.0013681581960748796
hsi_satellite,719.17224,0.0012433427993650413
hsi_satellite,729.2445,0.0011826747704518747
hsi_satellite,739.41754,0.0010249369957591073
hsi_satellite,749.7307,0.0008501745131977392
hsi_satellite,760.0969,0.0008837890943158208
hsi_satellite,770.5285,0.0008797651429688764
hsi_satellite,780.9124,0.0008639351482316692
hsi_satellite,791.3616,0.0009289453724225936
hsi_satellite,801.9366,0.0008778905129868435
hsi_satellite,812.53986,0.0008479104958756313
hsi_satellite,823.1458,0.0008943888524860328
hsi_satellite,833.75134,0.0007691090281320102
hsi_satellite,844.4271,0.0006802697436937438
hsi_satellite,855.1821,0.0006353417902027816
hsi_satellite,865.9494,0.0006017779307897828
hsi_satellite,876.6408,0.0005754850173494052
hsi_satellite,887.26587,0.0005385166962597598
hsi_satellite,897.9865,0.000609766416124167
hsi_satellite,908.644,0.0006752863112504449
hsi_satellite,919.1763,0.0006433640180226064
hsi_satellite,929.3855,0.0007399362416760221
hsi_satellite,939.86005,0.001114316646582256
hsi_satellite,942.9579,0.0009133975641854052
hsi_satellite,951.0114,0.0009583135912973842
hsi_satellite,959.52203,0.0009703962843068333
hsi_satellite,969.38995,0.0008378934894268963
hsi_satellite,978.7377,0.0006964112646539767
hsi_satellite,988.41156,0.0006259773597013543
hsi_satellite,998.37494,0.0005642967277514541
hsi_satellite,1008.1683,0.00047330316125645627
hsi_satellite,1017.9846,0.00042471152703896047
hsi_satellite,1028.8063,0.0004473378127175669
hsi_satellite,1037.7646,0.0005088134794756071
hsi_satellite,1047.4312,0.0004889155078772102
hsi_satellite,1057.3804,0.00042830149256658465
hsi_satellite,1067.61,0.00047508338579357596
hsi_satellite,1078.0391,0.0005531822262693543
hsi_satellite,1088.5898,0.0006737371265931853
hsi_satellite,1099.1083,0.0006850953803306629
hsi_satellite,1109.7408,0.0011971567749916613
hsi_satellite,1120.4946,0.0012968102542758994
hsi_satellite,1131.1431,0.0005257210185172017
hsi_satellite,1141.8737,0.0003794220761929324
hsi_satellite,1152.4716,0.0006258365966142221
hsi_satellite,1163.4841,0.0006813431339992978
hsi_satellite,1174.5258,0.0006861717596646404
hsi_satellite,1185.398,0.0006468134764760116
hsi_satellite,1196.1748,0.0005696767366073157
hsi_satellite,1207.1149,0.0005998523087601064
hsi_satellite,1217.6959,0.0005389428991785991
hsi_satellite,1228.9989,0.0005030170240668264
hsi_satellite,1240.0568,0.00049731511974794
hsi_satellite,1250.7955,0.0005444603474816638
hsi_satellite,1262.3344,0.0005308809542483836
hsi_satellite,1273.3064,0.0005657056159126594
hsi_satellite,1284.2795,0.0006092239260594971
hsi_satellite,1295.1967,0.0007057848139907232
hsi_satellite,1306.0472,0.0007930539871794793
hsi_satellite,1317.0177,0.0007367567672537223
hsi_satellite,1328.0897,0.0005089829404820119
hsi_satellite,1338.9463,0.006289082157714835
hsi_satellite,1349.599,0.0014442947290119073
hsi_satellite,1360.8427,0.0014491061246094817
hsi_satellite,1372.719,0.001449240930643337
hsi_satellite,1383.0083,0.001411122982372865
hsi_satellite,1394.5247,0.0013678722458966507
hsi_satellite,1405.3883,0.001317353055985946
hsi_satellite,1416.3103,0.0012692014175489444
hsi_satellite,1427.1056,0.0013250718693707307
hsi_satellite,1438.1699,0.0013238038128865395
hsi_satellite,1448.9209,0.0016209235140895507
hsi_satellite,1459.0675,0.0019771916096016262
hsi_satellite,1469.7003,0.0009538110238413932
hsi_satellite,1480.6201,0.0006087891512171723
hsi_satellite,1491.1978,0.0007004401923900686
hsi_satellite,1501.7793,0.000719261361263814
hsi_satellite,1512.4137,0.0007192241652439511
hsi_satellite,1523.0071,0.0007433765301718845
hsi_satellite,1533.5645,0.0007262603666491716
hsi_satellite,1544.0302,0.0006933460754036323
hsi_satellite,1554.5801,0.0007229134167462926
hsi_satellite,1565.1215,0.0007400256836510242
hsi_satellite,1575.3931,0.0007211067111346909
hsi_satellite,1585.6315,0.0007458945908236447
hsi_satellite,1595.9795,0.0008091574280958107
hsi_satellite,1606.2433,0.000806283434006045
hsi_satellite,1616.584,0.0008051943649050856
hsi_satellite,1626.7812,0.0008278714939057444
hsi_satellite,1636.8546,0.000859185821932188
hsi_satellite,1646.9728,0.0008238081586124567
hsi_satellite,1656.7723,0.0008072261554417804
hsi_satellite,1666.9666,0.0008265783091393577
hsi_satellite,1677.1246,0.0008120802033149188
hsi_satellite,1687.1718,0.0008202705876666055
hsi_satellite,1697.0093,0.0008282812844486203
hsi_satellite,1706.8075,0.0008514006911618619
hsi_satellite,1716.5975,0.0009020545669912962
hsi_satellite,1726.4375,0.0009080399062080073
hsi_satellite,1736.2556,0.0008827527816777681
hsi_satellite,1745.9294,0.0008849624234913812
hsi_satellite,1755.549,0.0008371756091250502
hsi_satellite,1765.2532,0.0008142479226724351
hsi_satellite,1774.9093,0.0006619011522266786
hsi_satellite,1784.4419,0.0009643872116025989
hsi_satellite,1793.6891,0.0014114954640970195
hsi_satellite,1803.366,0.0013035374226634483
hsi_satellite,1812.8206,0.0013111436913181007
hsi_satellite,1822.1488,0.0013564779996366836
hsi_satellite,1831.7412,0.001640060563177657
hsi_satellite,1841.0494,0.0015466862922772946
hsi_satellite,1850.2787,0.001410950249817688
hsi_satellite,1859.2976,0.0015709525067119522
hsi_satellite,1868.0181,0.001424711422736811
hsi_satellite,1878.4633,0.0013331997756090342
hsi_satellite,1886.8109,0.001395465514822702
hsi_satellite,1895.8464,0.001722070988690614
hsi_satellite,1904.6282,0.002037589423907204
hsi_satellite,1914.0479,0.002432601671282102
hsi_satellite,1923.0891,0.002905653892343216
hsi_satellite,1931.9916,0.002873211138072949
hsi_satellite,1940.8306,0.00336568153548779
hsi_satellite,1949.639,0.007216477801497262
hsi_satellite,1958.3706,0.0009235774514035208
hsi_satellite,1967.059,0.0007311715971091187
hsi_satellite,1975.7814,0.0007279314700804535
hsi_satellite,1984.5479,0.0006795023596098729
hsi_satellite,1993.2886,0.002187742380550949
hsi_satellite,2001.8428,0.00243326283547107
hsi_satellite,2010.4103,0.0008710926047324056
hsi_satellite,2019.0496,0.0002398057915916087
hsi_satellite,2027.476,0.00039676930256912307
hsi_satellite,2035.9952,0.0002732212826429958
hsi_satellite,2044.4224,0.0004318586706979589
hsi_satellite,2052.7573,0.0006954801233310131
hsi_satellite,2061.138,0.0005985266589050478
hsi_satellite,2069.5388,0.0005232967971693528
hsi_satellite,2077.7517,0.0004705047941687837
hsi_satellite,2086.1008,0.0005617180662063601
hsi_satellite,2094.4077,0.0005898677759835239
hsi_satellite,2102.548,0.0005737271090069485
hsi_satellite,2110.8167,0.0005867959474081444
hsi_satellite,2118.9553,0.0006009092904147986
hsi_satellite,2127.094,0.0005535875020180076
hsi_satellite,2135.2354,0.0005561411793080813
hsi_satellite,2143.2258,0.0005868317731240807
hsi_satellite,2151.1257,0.0005015852799230705
hsi_satellite,2159.2878,0.00044097018751187376
hsi_satellite,2167.2524,0.0005303889257312146
hsi_satellite,2175.0713,0.0005580001958703851
hsi_satellite,2183.1833,0.000492981753471932
hsi_satellite,2190.8354,0.0005353035233452659
hsi_satellite,2198.887,0.0008230767481626194
hsi_satellite,2206.5977,0.0006859422191887231
hsi_satellite,2214.3416,0.0005743721279428467
hsi_satellite,2222.1929,0.0006723120086032026
hsi_satellite,2229.7532,0.0006756600636394042
hsi_satellite,2237.6477,0.0006261182915300484
hsi_satellite,2245.2136,0.0006696078030654017
hsi_satellite,2252.8484,0.0008221633998943175
hsi_satellite,2260.628,0.0008203963798015791
hsi_satellite,2268.0422,0.0008651588840167005
hsi_satellite,2275.7695,0.0008999784053536174
hsi_satellite,2283.2751,0.0009029618970842207
hsi_satellite,2290.573,0.00089427215296528
hsi_satellite,2298.335,0.0009120031749203843
hsi_satellite,2305.5022,0.00082667515270213
hsi_satellite,2312.912,0.0009559139473888421
hsi_satellite,2320.6401,0.0008966906235285826
hsi_satellite,2327.607,0.0009865871980238511
hsi_satellite,2335.236,0.0009461463024574161
hsi_satellite,2342.5889,0.0011831215603234889
hsi_satellite,2349.5752,0.000997123806390041
hsi_satellite,2357.0225,0.0008830516178982018
hsi_satellite,2364.3708,0.0007800482015437539
hsi_satellite,2371.3364,0.0010058575627773364
hsi_satellite,2378.5095,0.0009277517571862272
hsi_satellite,2385.8086,0.001033943643941964
hsi_satellite,2392.8418,0.000948653555890172
hsi_satellite,2399.801,0.0010378892842937012
hsi_satellite,2407.3386,0.0012234232742195338
hsi_satellite,2414.1565,0.0011431828746656352
hsi_satellite,2420.9873,0.000978395143245425
hsi_satellite,2428.4001,0.0014924625616720847
hsi_satellite,2435.327,0.0015069090757405773
hsi_satellite,2442.1877,0.0021216036899242793
hsi_satellite,2448.9236,0.001958287350578857
hsi_satellite,2456.3296,0.001806947722883451
hsi_satellite,2462.813,0.0029417648366115295
hsi_satellite,2469.4155,0.005181501349261427
hsi_satellite,2476.7913,0.004643950588994137
hsi_satellite,2483.5906,0.002317169184521036
hsi_satellite,2490.028,0.003098161475622715
hsi_airborne,414.13,0.013160231504166689
hsi_airborne,417.32,0.01311864980004788
hsi_airborne,420.52,0.013142345625655619
hsi_airborne,423.72,0.012493110837918733
hsi_airborne,426.91,0.011383887107913002
hsi_airborne,430.11,0.009578168108728937
hsi_airborne,433.31,0.008342095245220232
hsi_airborne,436.5,0.007599584674765264
hsi_airborne,439.7,0.0074423978827253415
hsi_airborne,442.9,0.0075439199363211236
hsi_airborne,446.09,0.007378734513542977
hsi_airborne,449.29,0.007099430383450412
hsi_airborne,452.49,0.006840875731032665
hsi_airborne,455.68,0.006352643339872904
hsi_airborne,458.88,0.0057791862923068415
hsi_airborne,462.08,0.005433146404246217
hsi_airborne,465.27,0.005198118772143074
hsi_airborne,468.47,0.005083148538906099
hsi_airborne,471.67,0.005305901860214355
hsi_airborne,474.86,0.005232789028877734
hsi_airborne,478.06,0.0053007874218682065
hsi_airborne,481.26,0.005266526437652674
hsi_airborne,484.45,0.005182925595345054
hsi_airborne,487.65,0.005076941509083051
hsi_airborne,490.85,0.004886845826195365
hsi_airborne,494.04,0.0047202491004511675
hsi_airborne,497.24,0.004470263077008963
hsi_airborne,500.43,0.0042720120135706875
hsi_airborne,503.63,0.004043362837222821
hsi_airborne,506.83,0.0036487073394116344
hsi_airborne,510.03,0.0034933085154070648
hsi_airborne,513.22,0.003264879644480256
hsi_airborne,516.42,0.003112050339397506
hsi_airborne,519.61,0.0030280447194223326
hsi_airborne,522.81,0.0030461629783309243
hsi_airborne,526.01,0.003147813557887581
hsi_airborne,529.2,0.0032424350427804993
hsi_airborne,532.4,0.0033316474761950076
hsi_airborne,535.6,0.0034443701215957326
hsi_airborne,538.79,0.003609044632039051
hsi_airborne,541.99,0.003719650312581301
hsi_airborne,545.19,0.0038254514262807036
hsi_airborne,548.38,0.00393931544950391
hsi_airborne,551.58,0.004022273075138017
hsi_airborne,554.78,0.004104873235600801
hsi_airborne,557.97,0.004149964091294804
hsi_airborne,561.17,0.004204781042255719
hsi_airborne,564.37,0.004305838295661148
hsi_airborne,567.56,0.004451335197181005
hsi_airborne,570.76,0.004620874351050499
hsi_airborne,573.96,0.004820904248699899
hsi_airborne,577.15,0.004989474172089258
hsi_airborne,580.35,0.005114973515947661
hsi_airborne,583.55,0.005190341231629427
hsi_airborne,586.74,0.005255786506269701
hsi_airborne,589.94,0.005314241032733661
hsi_airborne,593.14,0.005433151106535317
hsi_airborne,596.33,0.005541665282723854
hsi_airborne,599.53,0.005663443852420315
hsi_airborne,602.73,0.005760875881192364
hsi_airborne,605.92,0.005761361326379197
hsi_airborne,609.12,0.005730687651647337
hsi_airborne,612.32,0.005821823058026709
hsi_airborne,615.51,0.005867084998135079
hsi_airborne,618.71,0.0058510312314458985
hsi_airborne,621.91,0.005798672736755536
hsi_airborne,625.1,0.0057619649269175415
hsi_airborne,628.3,0.005742112894262384
hsi_airborne,631.5,0.005769020155138138
hsi_airborne,634.69,0.005819306856087303
hsi_airborne,637.89,0.005767196401784104
hsi_airborne,641.09,0.005757911557008988
hsi_airborne,644.28,0.005649306027849538
hsi_airborne,647.48,0.00559312063163722
hsi_airborne,650.67,0.005648557671671109
hsi_airborne,653.87,0.005740236489747494
hsi_airborne,657.07,0.005844008496309412
hsi_airborne,660.27,0.005963970840959713
hsi_airborne,663.46,0.006117901908423483
hsi_airborne,666.66,0.006293463363184841
hsi_airborne,669.85,0.006410323553848905
hsi_airborne,673.05,0.006724663773208507
hsi_airborne,676.25,0.00688907670488431
hsi_airborne,679.45,0.006880693502018415
hsi_airborne,682.64,0.00668638533581059
hsi_airborne,685.84,0.006481459894542721
hsi_airborne,689.03,0.006561859841854839
hsi_airborne,692.23,0.006746213628410349
hsi_airborne,695.43,0.006757712177750169
hsi_airborne,698.62,0.006458046611262988
hsi_airborne,701.82,0.005914579319089804
hsi_airborne,705.02,0.005376571220123448
hsi_airborne,708.21,0.0051419856786369825
hsi_airborne,711.41,0.004810945925853766
hsi_airborne,714.61,0.0045056195246989715
hsi_airborne,717.8,0.004238108384530595
hsi_airborne,721.0,0.004000133887196206
hsi_airborne,724.2,0.0037933289475654227
hsi_airborne,727.39,0.0036367071923993845
hsi_airborne,730.59,0.0035221840003790477
hsi_airborne,733.79,0.0034493347642846573
hsi_airborne,736.98,0.003429356480917092
hsi_airborne,740.18,0.003421603033444307
hsi_airborne,743.38,0.003403393885830505
hsi_airborne,746.57,0.0033493539807356284
hsi_airborne,749.77,0.003271386667455276
hsi_airborne,752.97,0.0031845392477066184
hsi_airborne,756.16,0.003099870073375377
hsi_airborne,759.36,0.0030252016385222302
hsi_airborne,762.56,0.0029624970427700164
hsi_airborne,765.75,0.0029075490383174717
hsi_airborne,768.95,0.0028627040621527493
hsi_airborne,772.15,0.002826466702903558
hsi_airborne,775.34,0.0027896826825563217
hsi_airborne,778.54,0.0027581740698850495
