target,msi_satellite,hsi_satellite,hsi_airborne
B,20.06825719665198,8.363210623279928,71.5685321800681
Cu,11.710779400272209,10.414688169581783,77.874532430146
Zn,18.114606488921794,11.418987689674088,70.46640582140411
Fe,16.637928337991074,11.704930225565352,71.65714143644358
S,18.9588761540232,10.266124543338938,70.77499930263785
Mn,5.842015681148033,6.661186202796196,87.49679811605577
